Gates	Layers	Fcalls	E0	Overlap
3895700	74	72528	-20.932474626974347	0.013506170047810016
6391202	78	105898	-21.882045906392033	0.00021130502120819548
4370534	75	78704	-19.83321918222308	0.0033749057068643167
6649846	75	113493	-21.333533092039385	0.0008443120402481518
6168610	75	106786	-21.949372820609934	0.003100130903169474
5663562	77	99218	-20.829461032731178	0.011060784188827055
4853980	77	85340	-19.47368983219705	0.011317561396569049
4188002	74	77161	-21.039218883623118	0.03310312595832921
4926636	75	87782	-18.169817261938938	0.02478817042681381
6128646	78	103573	-19.651942567416363	0.019996433224842753
3993298	75	74168	-19.298584061315722	0.06261984374520758
5087038	74	92125	-20.111744569072552	0.042437256199508645
3383286	72	65103	-21.126560739971545	0.01566410030989836
7184780	77	117435	-22.02873513428823	0.007597948238355519
4290704	76	76765	-21.407504077397228	0.009935694903111513
4959046	75	88344	-23.52213156367286	0.011795508232504569
4306560	77	76603	-20.260862142862937	7.450952356617188e-06
3586734	72	67938	-22.586723555125694	0.023522084449011577
6556570	76	110891	-20.2275387078811	0.02562573270577959
8469794	79	140328	-20.712767067664878	0.005531687490354062
4237334	75	77196	-20.705152260600947	0.016590574562460488
3838294	74	72886	-20.049739844753038	0.03227356279315129
3432598	70	68493	-19.586416285248788	0.0003925840884369021
5169436	78	90292	-19.81896303140961	0.00022973881488907563
4036728	75	73299	-17.712331693103383	0.000822962733840566
6562548	78	110209	-19.932316616571622	4.166365501185981e-06
2769128	70	55856	-19.580359193193864	0.01571105691495173
5478858	77	95153	-17.597806129900583	0.0021904050650805597
7160796	78	117769	-21.87426507058551	0.011656857858656307
5387336	77	92757	-20.777625481618067	0.005926830719679576
5532630	78	93380	-20.046324823441328	0.005698155408657459
4777854	75	86476	-21.318741839515486	0.022172946980847347
5250374	78	90946	-21.78216203437276	8.822492235721346e-05
5419234	75	94126	-25.444662041425865	0.005680249603127997
6103932	76	105743	-22.404397881520357	0.048383841426593716
5633468	74	98389	-20.881113921677546	0.009018526252296386
4281604	75	77831	-21.561558454067452	0.04310381399364972
4508852	76	80402	-20.615007427715096	0.029869654477855275
4301956	74	79667	-20.33682245599464	0.006012464781553571
4244016	74	77139	-22.341256349100476	0.03685017479575374
4749626	75	83419	-21.2686172153145	0.0014546475625975511
3765128	73	70519	-18.78437134421726	0.004648030620840627
4131408	75	73761	-21.11704937448912	0.000465500541028062
7387098	76	122617	-21.466935134159012	0.0010267343622314888
6318468	77	109399	-22.292123286457556	0.0007965459776128233
4438816	74	80431	-21.484268110020302	0.0015524508620556963
3776694	74	70093	-19.168290612142226	0.004107570108408903
4202056	75	76103	-20.53574959976996	0.00035588779285619616
4498718	73	83400	-20.977997920712724	0.008500226763748585
4603178	76	82230	-19.675019771810422	0.02395865495309379
