v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	121772	26	6377	-5.328425000000001	0.14895372459267853	SUCCESS
v1	206730	27	10260	-6.743665	0.14895372459267822	SUCCESS
v2	104680	25	5801	-4.070762500000001	0.02940334251183635	SUCCESS
v3	217742	26	11027	-1.1434250000000015	0.000284661909720498	SUCCESS
v4	205728	27	10227	-6.743665	0.14895372459267806	SUCCESS
v5	98262	24	5555	-4.070762500000001	0.029403342511836607	SUCCESS
v6	95058	24	5411	-3.8232425	0.05418446811341384	SUCCESS
v7	132330	27	7391	-4.352692500000001	0.02077462495819556	SUCCESS
v8	175924	27	8858	-2.903050000000002	0.002428665982450735	SUCCESS
v9	179426	26	9250	-4.336045000000001	0.0019739910630145823	SUCCESS
v10	223306	26	11320	-2.1103375000000018	0.02224318527708129	SUCCESS
v11	178476	26	9206	-4.336045000000001	0.001973991063014572	SUCCESS
v12	206910	26	10587	-2.1103375000000018	0.02224318527708129	SUCCESS
v13	122324	26	6401	-0.7128425000000016	0.022243185277081374	SUCCESS
v14	121674	26	6375	-5.328424999999999	0.1489537245926775	SUCCESS
v15	161036	26	8316	-7.341330000000002	0.0007594264177822797	SUCCESS
v16	119864	25	6449	-2.1103375000000018	0.022243185277081256	SUCCESS
v17	143306	26	7650	-7.341330000000002	0.0007594264177822351	SUCCESS
v18	118616	25	6398	-2.1103375000000018	0.022243185277081308	SUCCESS
v19	119658	26	6265	-4.352692500000001	0.0207746249581954	SUCCESS
v20	180388	25	9329	-2.903050000000002	0.002428665982450734	SUCCESS
v21	95562	24	5434	-3.8232425	0.05418446811341354	SUCCESS
v22	206022	27	10233	-2.1280825000000005	0.022243185277081256	SUCCESS
v23	98538	24	5569	-0.9741250000000026	0.003310628749904622	SUCCESS
v24	214660	26	10936	-1.1434250000000015	0.00028466190972049166	SUCCESS
v25	206036	27	10233	-2.1280825000000005	0.022243185277081298	SUCCESS
v26	100516	24	5650	-0.9741250000000026	0.0033106287499046656	SUCCESS
v27	121774	26	6377	-0.7128425000000016	0.022243185277081225	SUCCESS
