v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	356824	39	12578	-21.427712500000002	0.0206618503868078	SUCCESS
v1	540012	44	17112	-14.222665	0.0012195713333151856	SUCCESS
v2	507800	46	15591	-23.558055000000007	0.015496387790105846	SUCCESS
v3	499140	44	16111	-20.870755	0.005165462596701974	SUCCESS
v4	469232	43	15260	-16.345524999999995	0.0012195713333151739	SUCCESS
v5	500756	43	16132	-28.96475	0.2529570237576721	SUCCESS
v6	643940	44	19812	-25.467767499999997	0.005165462596701927	SUCCESS
v7	639984	44	19698	-25.467767500000004	0.005165462596701944	SUCCESS
v8	488150	42	15866	-23.045385000000007	0.060393316291243476	SUCCESS
v9	477362	42	15644	-17.034815	0.04444851087821131	SUCCESS
v10	561406	44	17887	-16.884737499999996	0.008456006723212924	SUCCESS
v11	652750	44	20101	-13.756725000000003	0.00119070293264486	SUCCESS
v12	450244	43	14860	-20.116612500000002	0.0006143186894096124	SUCCESS
v13	600158	44	18613	-13.647962500000006	0.0024036353369205855	SUCCESS
v14	436182	43	14539	-13.199767500000004	0.0002976757331612186	SUCCESS
v15	522366	44	16401	-28.96475	0.25295702375767165	SUCCESS
v16	499484	44	16136	-22.462482500000004	0.005165462596701927	SUCCESS
v17	487250	44	15840	-22.462482500000004	0.005165462596701902	SUCCESS
v18	517070	44	16240	-17.034815	0.04444851087821125	SUCCESS
v19	605386	45	18400	-23.045385000000007	0.06039331629124334	SUCCESS
v20	492256	44	15943	-20.870755	0.005165462596701948	SUCCESS
v21	505240	46	15539	-23.558055000000007	0.015496387790105821	SUCCESS
v22	482154	44	15433	-16.345524999999995	0.0012195713333151656	SUCCESS
v23	487326	44	15559	-17.2210525	0.006029003801509072	SUCCESS
v24	500956	44	16158	-20.116612500000002	0.0006143186894096098	SUCCESS
v25	509786	46	15642	-15.8870675	0.0008930271994836513	SUCCESS
v26	350884	39	12417	-22.1972	4.787801365974042e-37	SUCCESS
v27	537660	44	17006	-19.771967500000006	0.0008190915858794718	SUCCESS
v28	515658	44	16486	-16.1421275	0.004011546672744955	SUCCESS
v29	441372	43	14567	-14.791494999999998	0.00029767573316121827	SUCCESS
v30	352286	39	12453	-17.79678	0.0002976757331612172	SUCCESS
v31	355492	39	12541	-21.427712500000002	0.020661850386807807	SUCCESS
v32	517626	42	16801	-14.222665	0.0012195713333151656	SUCCESS
v33	343402	39	12221	-22.1972	1.1945728634756419e-33	SUCCESS
v34	505350	42	16486	-16.1421275	0.004011546672744943	SUCCESS
v35	430122	41	14610	-19.771967500000006	0.0008190915858794771	SUCCESS
v36	434338	43	14356	-14.791495000000001	0.00029767573316122364	SUCCESS
v37	352210	39	12452	-17.796780000000002	0.000297675733161216	SUCCESS
v38	501376	44	16163	-20.116612500000002	0.0006143186894096082	SUCCESS
v39	406120	41	13775	-17.221052500000003	0.0060290038015090655	SUCCESS
v40	511238	46	15681	-15.887067499999997	0.0008930271994836478	SUCCESS
v41	925030	46	26769	-13.647962500000002	0.0024036353369205577	SUCCESS
v42	450244	43	14860	-20.116612500000002	0.000614318689409606	SUCCESS
v43	441968	44	14651	-13.1997675	0.00029767573316122255	SUCCESS
v44	576796	44	18224	-16.884737499999996	0.008456006723212924	SUCCESS
v45	648762	44	19990	-13.756725	0.0011907029326448779	SUCCESS
v46	472226	41	15537	-16.504250000000006	0.07950531220815273	SUCCESS
v47	704626	45	21030	-14.526212500000003	1.6109739346607572e-32	SUCCESS
v48	628214	44	19373	-14.5262125	1.1718778031822947e-34	SUCCESS
v49	477012	42	15606	-13.622774999999997	0.022430045504449624	SUCCESS
v50	470834	41	15500	-13.622774999999997	0.022430045504449624	SUCCESS
