Gates	Layers	Fcalls	E0	Overlap	Success
204	4	73	3.8026870045145804	0.1452467500577622	SUCCESS
340	4	119	4.948787037479645	0.0024190157377261636	SUCCESS
252	4	88	3.9957104800396612	0.09075797986312906	SUCCESS
284	4	101	2.0187777417611383	0.0010952409946354837	SUCCESS
106	3	48	-0.02405738120186851	0.5923014697857799	SUCCESS
320	4	107	-0.8038091621944385	0.4821511663229778	SUCCESS
278	4	95	0.3298612276716222	0.5740189931636115	SUCCESS
462	4	149	5.9109290444919065	0.004440613845673872	SUCCESS
256	4	87	-0.12155030485634238	0.30206411280300793	SUCCESS
274	4	92	3.888426072971804	0.14770963220907668	SUCCESS
250	4	86	5.388260395247717	0.13551777235230997	SUCCESS
504	4	165	5.297397471818612	0.013445156547683359	SUCCESS
568	5	167	5.183693800608893	0.016539348548964102	SUCCESS
264	4	100	4.841963356083403	0.013033533777955976	SUCCESS
576	5	161	0.6208763318456209	0.0002476147779571394	SUCCESS
364	4	126	2.6581441472877048	0.10180138701897667	SUCCESS
262	4	90	0.17281967674787668	0.6314681138777045	SUCCESS
264	4	90	0.02003304787776128	0.7095663629792992	SUCCESS
306	4	105	4.4910011027921914	0.006802009640158753	SUCCESS
250	4	86	1.983236006912688	0.0829504137706933	SUCCESS
198	4	72	-2.241004040660796	0.8788574292953488	SUCCESS
284	4	98	5.7414705530841115	0.07010944706512784	SUCCESS
294	4	99	1.4485282538508693	0.30240937889991254	SUCCESS
328	4	108	1.8691363172327882	0.11748312864827999	SUCCESS
260	4	88	2.4591650270544103	0.2211685971190075	SUCCESS
196	4	74	5.758405524345006	0.09291713918069143	SUCCESS
232	4	83	3.640173125789099	0.07033425164507585	SUCCESS
106	3	48	2.9860483478622664	0.08273881358546181	SUCCESS
230	4	81	0.5131617628932221	0.5745950748187453	SUCCESS
230	4	81	-1.9883194601573888	0.902725682689154	SUCCESS
264	4	88	5.609972857931777	0.08845757146368378	SUCCESS
334	4	111	4.965768011932756	0.14959035824927638	SUCCESS
380	4	126	2.388110343961621	0.1104316733481176	SUCCESS
262	4	90	3.7346169011678914	0.09890935779462605	SUCCESS
294	4	99	2.4131116575095493	0.3178135585762784	SUCCESS
290	4	100	2.8155451298436	0.17870910966034	SUCCESS
302	4	100	3.5200064668339808	0.026446082596383556	SUCCESS
286	4	104	2.7280983585846705	0.2856555278781186	SUCCESS
434	4	167	4.019846239655732	0.00021073439765772594	SUCCESS
220	4	78	4.373331770872836	0.15685096770590892	SUCCESS
246	4	85	5.489674124262878	0.0701179789286271	SUCCESS
