Gates	Layers	Fcalls	E0	Overlap	Success
3040	9	479	-10.270002268332588	0.00896867548550959	SUCCESS
3108	9	496	-7.678721382355777	0.1370358465580624	SUCCESS
2944	9	474	-11.311107378821951	0.3309023881471826	SUCCESS
3498	9	553	-4.1650577231412615	0.0039407850507958316	SUCCESS
3150	9	496	-9.093105975971998	0.020002336645893296	SUCCESS
3506	9	540	-9.901233240423776	0.09085278328399558	SUCCESS
2072	8	373	-9.002283312222975	0.0024513288081454906	SUCCESS
3090	9	479	-9.923724249375525	0.030369408529574555	SUCCESS
3684	9	583	-12.045145355779034	0.17240558162998879	SUCCESS
3080	9	488	-11.252261344231698	0.12511105787572188	SUCCESS
2902	9	458	-10.974624168693953	0.0033850424537720507	SUCCESS
2704	9	444	-11.962355240441717	0.011563011049556302	SUCCESS
2866	9	460	-12.459226248404544	0.3113102074944315	SUCCESS
2812	9	452	-10.75212072954697	0.023198207808430866	SUCCESS
2902	9	475	-11.4021473474566	0.12541937532123057	SUCCESS
3390	9	539	-9.056209377154886	0.05634011065844169	SUCCESS
2832	9	458	-10.360221781471708	0.015328334552034348	SUCCESS
2306	8	439	-9.599932534839255	0.0022209939520202748	SUCCESS
2648	9	430	-9.614241777392806	0.03590762935013217	SUCCESS
2842	9	466	-9.407221371483455	0.10030273370270261	SUCCESS
2706	9	440	-11.154123494187786	0.0075437775460228205	SUCCESS
2104	8	371	-12.298838346383274	0.005177748054907655	SUCCESS
2740	9	446	-8.318250842283623	0.09942421659612874	SUCCESS
2594	9	440	-10.90224775727978	0.03296603114554787	SUCCESS
3018	9	462	-12.521929708451852	0.025961804594817908	SUCCESS
2848	9	456	-10.320131591914178	0.04769819641834093	SUCCESS
3058	9	506	-7.920748518225545	0.04838633146744975	SUCCESS
2534	9	419	-12.417925167545093	0.4057066914727712	SUCCESS
2810	9	455	-10.733193357135217	0.04918498487735915	SUCCESS
2734	9	450	-10.843025310825311	0.039553097824876704	SUCCESS
2452	8	426	-8.628504422646692	0.023830123369927868	SUCCESS
3060	9	483	-11.366495760176006	0.1635159635895474	SUCCESS
4490	10	633	-12.86241204417145	0.01439843821465416	SUCCESS
2876	9	466	-11.769175061898645	0.15531023562066104	SUCCESS
2708	9	431	-10.771524031703404	0.005058709383169142	SUCCESS
2572	9	423	-12.012110847162562	0.27665733429722755	SUCCESS
2568	9	418	-10.089333751428388	0.1814169559143269	SUCCESS
1910	8	356	-8.912624165947799	0.0016188339473722792	SUCCESS
