v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	2684	9	441	-15.413650000000004	0.44261485108805015	SUCCESS
v1	2754	9	465	-9.398125	0.0012553598840496112	SUCCESS
v2	2684	9	441	-15.41365	0.44261485108805004	SUCCESS
v3	2754	9	465	-9.398125	0.001255359884049595	SUCCESS
v4	2754	9	465	-8.265912499999999	0.03635392863084687	SUCCESS
v5	2580	9	441	-9.6811525	0.004039325403427479	SUCCESS
v6	2690	9	447	-7.742662500000005	0.015736534993626084	SUCCESS
v7	2428	9	414	-9.6811525	0.004039325403427401	SUCCESS
v8	2690	9	447	-7.742662500000002	0.01573653499362609	SUCCESS
v9	2754	9	465	-8.265912500000002	0.03635392863084703	SUCCESS
