Nucleus	Dimension	UCC_depth	ADAPT_depth	UCC_depth_std	ADAPT_depth_std	UCC_layers	ADAPT_layers	ADAPT_layers_std
Li6	10	30863.7	2844.0	9202.052233605282	0.0	45	9.0	0.0
Li8	28	422604.0	151282.0	107065.64810432895	45318.0702965981	129	25.678571428571427	1.0559731838826993
B8	28	432666.0	152725.64285714287	107537.42068694042	45261.93410722728	129	25.714285714285715	1.0131411680782823
Li10	10	42483.0	2674.0	12726.895183036591	100.86734963417163	49	9.0	0.0
N10	10	42238.0	2677.2	14256.895033631972	103.04346440000722	49	9.0	0.0
B10	84	1175358.4	3006820.595238095	309523.6444691103	789247.8197733223	145	67.75	2.2701573641118635
Be6	5	862.56	66.8	303.2525126029462	37.61914406256474	8	2.4	0.5477225575051661
He6	5	970.56	66.8	356.30616946665424	37.61914406256474	8	2.4	0.5477225575051661
Be8	51	531790.4	684021.3333333334	114524.80849073692	125396.09696297036	145	43.88235294117647	0.9517785209496888
Be10	51	511890.6	505569.8039215686	95494.30092754234	102836.0348774727	145	43.07843137254902	1.957990166011075
C10	51	543222.2	499604.54901960783	128744.93335723948	89339.38431583547	145	42.94117647058823	2.0041134170089516
