28
0, (0, 1, 2, 9)
1, (0, 1, 3, 8)
2, (0, 1, 3, 11)
3, (0, 1, 5, 9)
4, (0, 2, 3, 7)
5, (0, 2, 3, 10)
6, (0, 2, 4, 9)
7, (0, 2, 5, 8)
8, (0, 2, 5, 11)
9, (0, 3, 4, 8)
10, (0, 3, 4, 11)
11, (0, 3, 5, 7)
12, (0, 3, 5, 10)
13, (0, 4, 5, 9)
14, (1, 2, 3, 6)
15, (1, 2, 4, 8)
16, (1, 2, 4, 11)
17, (1, 2, 5, 7)
18, (1, 2, 5, 10)
19, (1, 3, 4, 7)
20, (1, 3, 4, 10)
21, (1, 3, 5, 6)
22, (1, 4, 5, 8)
23, (1, 4, 5, 11)
24, (2, 3, 4, 6)
25, (2, 4, 5, 7)
26, (2, 4, 5, 10)
27, (3, 4, 5, 6)
