Operator label	Operator excitation	Gradient	Final parameters gradient	Energy	Relative error	Function calls
None	None	None	None	1.140274999999999	1.2052041541155145	0
46	[2, 10, 4, 8]	5.241650000000001	1.4901161193847656e-08	-1.480550000000001	0.733559877770077	30
56	[3, 6, 4, 8]	2.699247120830441	6.664001874625056e-08	-2.621380222756079	0.5282558056382884	61
6	[0, 9, 4, 8]	2.661800070984903	1.1151007970493857e-07	-3.6273958193426243	0.3472130049765561	118
26	[1, 11, 4, 8]	2.023051254946674	0.0	-4.286007277774603	0.2286891337890622	197
68	[4, 8, 5, 7]	2.695191588649617	2.2302015940987714e-07	-5.436972026129363	0.021561250074243695	293
7	[0, 9, 4, 11]	0.30231616051098753	1.1920928955078125e-07	-5.456139884864713	0.018111797759676303	399
9	[0, 9, 5, 10]	0.37301874365233223	1.5769906706002895e-07	-5.485099421762493	0.012900232766419438	562
12	[1, 8, 1, 11]	0.2273610817742049	1.6858739404357614e-07	-5.508315441492022	0.008722272458136737	727
3	[0, 9, 2, 7]	0.31423186153381066	Manually stopped	-5.5567813273969	3.403623094441047e-07	835
