Gates	Layers	Fcalls	E0	Overlap	Success
4716976	77	81253	-21.285066070601697	0.013389303683632177	SUCCESS
3437952	73	64820	-22.30993932606356	0.00875147463550306	SUCCESS
3156464	70	61741	-20.067758465880623	0.00048263952732932966	SUCCESS
4210764	77	75086	-22.057575877072928	0.0884018732277837	SUCCESS
4504966	76	80997	-22.909686228238286	0.00760049242561582	SUCCESS
4800062	74	84841	-21.405350847011352	0.0006696513972475511	SUCCESS
3938724	75	72954	-20.00206643471866	0.012773770515820149	SUCCESS
3208722	71	63328	-21.385528413145906	1.311733905946031e-05	SUCCESS
4502630	76	79439	-21.194316970210895	0.000665177523519003	SUCCESS
3662496	74	68737	-22.08070711609445	0.009706191893876052	SUCCESS
3837766	73	72154	-19.31195607577035	0.0001796070665124414	SUCCESS
5046682	75	89595	-22.467924533302025	0.0035172623313164007	SUCCESS
4864828	76	86320	-19.29925983179715	0.028980795345517604	SUCCESS
4352358	75	78619	-20.68756119508082	0.0007247314393993284	SUCCESS
6278722	75	108187	-21.630527824687913	0.003626021906944812	SUCCESS
5158728	74	91094	-23.93985863298719	0.006180112812095528	SUCCESS
4033204	75	73212	-20.763554562278536	0.0029305588152807585	SUCCESS
5687342	75	100324	-21.34841036297664	0.007651920313221026	SUCCESS
4677730	75	83675	-19.882673836654572	0.00018459491047231847	SUCCESS
4530348	74	82207	-19.75676492937347	0.001781409234007141	SUCCESS
3345058	71	64771	-22.16747280503336	0.020656487530071304	SUCCESS
4479622	75	80501	-23.35095768507821	0.001166754031258653	SUCCESS
3825256	74	70290	-22.198167094758954	1.6422759584331577e-05	SUCCESS
5816174	78	99032	-20.788934979496833	0.029003236608122537	SUCCESS
4541124	74	81338	-19.308104074199417	0.01584965086876103	SUCCESS
4087870	75	76292	-20.363177831646	0.0029420117206501303	SUCCESS
5316952	76	94083	-22.503168195813963	0.015600942314408287	SUCCESS
3690618	72	71112	-20.348228736192283	0.06192716299475563	SUCCESS
5742414	75	100982	-22.509507735187654	0.052280831302262826	SUCCESS
4151014	74	75256	-21.72352972397259	0.00966873029158221	SUCCESS
4710118	76	82694	-21.83144191659997	0.02257143970303771	SUCCESS
5148362	74	91661	-21.39568958010448	0.0017597523809601415	SUCCESS
4109092	74	74338	-22.084577555328494	0.026706673485708474	SUCCESS
4209296	75	76176	-20.187273916790545	0.00016881810782606356	SUCCESS
5481030	78	92913	-21.493709907938406	0.00014154495252507296	SUCCESS
4539782	75	81588	-19.910156832671888	0.00295110866245034	SUCCESS
5794166	76	100201	-20.731949851200305	0.016984923929389148	SUCCESS
4776004	77	86082	-18.45694252470942	0.0006139641064971187	SUCCESS
5132474	76	90876	-20.487925636978463	0.031219407198523157	SUCCESS
5307470	77	93388	-21.29657776512665	7.644375425489778e-09	SUCCESS
3149218	71	61902	-20.43849776167775	0.00022860359298174814	SUCCESS
4345810	74	78153	-20.281104494968545	0.005090323781985827	SUCCESS
4687710	75	85067	-17.989642266835485	0.0017271262846990682	SUCCESS
6455600	76	109123	-22.88917492464054	0.005497084131624465	SUCCESS
3366328	73	64727	-21.401316531372135	0.0017310549549254884	SUCCESS
4545172	73	83450	-22.584317166739066	0.000505966781694253	SUCCESS
4515184	73	82647	-21.45918312030036	0.009954339017884537	SUCCESS
5216802	78	89569	-22.02799240485996	0.034025582770247906	SUCCESS
3564054	72	67473	-23.428555172141095	0.04428330043099578	SUCCESS
4488084	73	82884	-20.772305043496672	0.011574784219410899	SUCCESS
