v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	96526	25	5395	-5.328425000000001	0.14895372459267853	SUCCESS
v1	183904	27	9308	-6.743665	0.14895372459267822	SUCCESS
v2	128710	25	6969	-4.070762500000001	0.02940334251183635	SUCCESS
v3	210670	27	11133	-1.1434250000000015	0.000284661909720498	SUCCESS
v4	184778	27	9349	-6.743665	0.14895372459267806	SUCCESS
v5	128636	25	6956	-4.070762500000001	0.029403342511836607	SUCCESS
v6	125590	25	6835	-3.8232425	0.05418446811341384	SUCCESS
v7	116636	26	6452	-4.352692500000001	0.02077462495819556	SUCCESS
v8	180166	27	8869	-2.903050000000002	0.002428665982450735	SUCCESS
v9	132810	26	7124	-4.336045000000001	0.0019739910630145823	SUCCESS
v10	210288	27	11078	-2.1103375000000018	0.02224318527708129	SUCCESS
v11	132936	26	7127	-4.336045000000001	0.001973991063014572	SUCCESS
v12	214262	27	11258	-2.1103375000000018	0.02224318527708129	SUCCESS
v13	96526	25	5395	-0.7128425000000016	0.022243185277081374	SUCCESS
v14	97776	25	5446	-5.328424999999999	0.1489537245926775	SUCCESS
v15	187482	27	9050	-7.341330000000002	0.0007594264177822797	SUCCESS
v16	146434	25	7659	-2.1103375000000018	0.022243185277081256	SUCCESS
v17	186180	27	8998	-7.341330000000002	0.0007594264177822351	SUCCESS
v18	144728	25	7586	-2.1103375000000018	0.022243185277081308	SUCCESS
v19	96500	25	5418	-4.352692500000001	0.0207746249581954	SUCCESS
v20	106210	25	6053	-2.903050000000002	0.002428665982450734	SUCCESS
v21	128466	25	6958	-3.8232425	0.05418446811341354	SUCCESS
v22	180052	27	9135	-2.1280825000000005	0.022243185277081256	SUCCESS
v23	127534	25	6907	-0.9741250000000026	0.003310628749904622	SUCCESS
v24	213208	27	11208	-1.1434250000000015	0.00028466190972049166	SUCCESS
v25	186834	27	9382	-2.1280825000000005	0.022243185277081298	SUCCESS
v26	128308	25	6947	-0.9741250000000026	0.0033106287499046656	SUCCESS
v27	96526	25	5395	-0.7128425000000016	0.022243185277081225	SUCCESS
