v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	682076	44	22143	-6.582990000000002	0.012922389187380326	SUCCESS
v1	878636	45	25798	-5.382637500000001	0.021113743766949612	SUCCESS
v2	1008312	46	30154	-8.705849999999998	0.012922389187380187	SUCCESS
v3	949486	48	26825	-7.512979999999999	0.01583530782521214	SUCCESS
v4	993938	45	29265	-4.82568	0.005278435941737399	SUCCESS
v5	912868	46	26375	-15.40571	0.1163015026864231	SUCCESS
v6	663144	44	21046	-9.39514	0.05168955674952112	SUCCESS
v7	872820	45	25685	-6.4174074999999995	0.005278435941737431	SUCCESS
v8	884028	45	25929	-6.4174074999999995	0.0052784359417374326	SUCCESS
v9	911934	46	26370	-4.514275000000001	0.052570252847273895	SUCCESS
v10	881928	45	25970	-5.382637500000002	0.02111374376694962	SUCCESS
v11	1124172	45	32966	-4.629480000000003	0.029836278175200518	SUCCESS
v12	994376	45	29249	-4.825680000000003	0.0052784359417373805	SUCCESS
v13	998890	48	28038	-4.856070000000001	0.0044993866778092135	SUCCESS
v14	1045732	46	30295	-1.392705000000003	0.003197928265150397	SUCCESS
v15	666484	44	20945	-9.39514	0.05168955674952115	SUCCESS
v16	657894	44	20616	-15.405710000000003	0.11630150268642254	SUCCESS
v17	592286	43	19148	-9.4226925	0.005278435941737368	SUCCESS
v18	596334	43	19240	-9.4226925	0.005278435941737373	SUCCESS
v19	677992	44	21382	-4.514275000000003	0.05257025284727376	SUCCESS
v20	1016164	46	30358	-8.705849999999998	0.01292238918738024	SUCCESS
v21	1020294	45	29899	-4.82568	0.00527843594173737	SUCCESS
v22	972640	48	27399	-7.512979999999999	0.01583530782521214	SUCCESS
v23	958814	48	27063	-7.512980000000003	0.015835307825212155	SUCCESS
v24	882514	46	26734	-4.9657950000000035	0.017957237086644214	SUCCESS
v25	1000340	48	28117	-4.8560700000000026	0.004499386677809216	SUCCESS
v26	892896	45	26183	-6.4174075	0.0052784359417374326	SUCCESS
v27	595032	43	19223	-9.4226925	0.0052784359417373805	SUCCESS
v28	569482	42	18483	-7.516710000000003	0.005999182237078988	SUCCESS
v29	907248	46	26699	-3.886870000000002	0.009077787116627566	SUCCESS
v30	889466	45	25944	-3.0554875000000017	4.364013244755867e-32	SUCCESS
v31	684316	44	22156	-6.582990000000002	0.012922389187380385	SUCCESS
v32	874668	45	25764	-5.382637500000003	0.02111374376694962	SUCCESS
v33	883748	45	25965	-6.4174075	0.0052784359417374326	SUCCESS
v34	590160	43	19082	-9.4226925	0.005278435941737367	SUCCESS
v35	923848	46	27149	-3.886870000000002	0.009077787116627595	SUCCESS
v36	564350	42	18357	-7.516710000000003	0.005999182237078986	SUCCESS
v37	866774	45	25526	-3.0554875000000017	6.750624636217964e-32	SUCCESS
v38	959174	48	27067	-7.512980000000003	0.015835307825212128	SUCCESS
v39	1006932	48	28194	-4.8560700000000026	0.004499386677809238	SUCCESS
v40	839548	46	25166	-4.9657950000000035	0.017957237086644245	SUCCESS
v41	1000050	45	29362	-4.825680000000003	0.00527843594173737	SUCCESS
v42	981356	46	28789	-1.392705000000003	0.0031979282651503835	SUCCESS
v43	982730	48	27694	-4.856070000000001	0.004499386677809238	SUCCESS
v44	884024	45	25964	-5.382637500000002	0.02111374376694962	SUCCESS
v45	1098104	45	32220	-4.629480000000003	0.0298362781752005	SUCCESS
v46	909288	46	26339	-4.514275000000002	0.05257025284727388	SUCCESS
v47	670476	44	21218	-4.514275000000002	0.05257025284727375	SUCCESS
v48	893428	45	26144	-3.0554875000000017	6.750624636217964e-32	SUCCESS
v49	877146	45	25799	-3.0554875000000017	5.600690647821105e-32	SUCCESS
v50	909278	46	26379	-2.6713000000000005	0.04077550284735936	SUCCESS
