Gates	Layers	Fcalls	E0	Overlap
493446	42	16672	-5.485057149815583	0.0014451805606091551
834540	46	24434	-7.9029946175401005	0.05381370704851822
579622	43	18985	-5.159352653573051	0.003472715521009101
688198	46	21544	-7.7095807950834265	0.01643960148883651
1182074	45	33447	-9.629366994183568	0.011705467963640344
651278	44	20309	-6.609966183750851	0.030249686678608376
646132	44	20587	-5.767686733633018	4.250701170112391e-06
760276	45	23194	-5.206558298901707	0.02404414752166611
620972	44	19842	-5.891853126391105	0.00029958265766244843
724088	43	23283	-7.522984467827109	0.00022640610829529625
739164	43	22905	-6.109553929561892	0.04489743644591545
623244	42	20622	-7.043999165409583	0.0004952600465955803
613330	43	20413	-5.777456266830407	0.032924022073901826
527906	42	17353	-10.292064063343632	0.024677342247612612
680264	45	20738	-5.478034127610462	0.007027648211250785
780102	46	23432	-6.33762868788046	0.03151055338859543
884472	47	25604	-5.802773587507127	0.0014710935618999512
760326	44	23973	-9.086891944775061	0.025334166094750196
687690	44	21487	-4.672808128408964	0.03343768813786718
532294	43	17394	-3.485582122479111	0.011618547533613709
598106	44	19450	-5.20770004982015	0.004885365371955783
633598	42	20800	-5.229030150498841	0.0015819508596548433
547954	43	17818	-6.895457832472149	0.0063300051136802055
601438	41	20061	-3.9008229944133035	0.00018340478139472165
470504	41	16262	-6.952895690252259	0.0012648802618910313
676492	43	21925	-3.822480381612589	0.025630294193700862
775994	46	23718	-6.666380666765573	0.007381295053125655
768376	45	23060	-6.443993839009297	0.0017131409883960433
676968	44	21413	-5.663534501736677	0.0038254140252997177
773940	45	23883	-3.768922197904977	0.010817831943511333
789632	45	24735	-5.682965299207419	0.023181187301558534
525306	43	17139	-10.600073885951447	0.10145310210856559
801752	46	23787	-8.315441843765736	0.06195226961592768
632612	43	20493	-6.533056234542297	0.026537124739934807
483080	43	16497	-4.977255927302795	0.0001844741608198102
725384	45	22794	-7.002186900501104	0.10251077100485524
941390	47	27049	-4.901760762641744	0.000946688564185727
549384	43	17788	-6.843835849573032	0.0019419651821612793
835572	46	24673	-5.608771923617937	0.0005328306883983679
815806	44	25922	-8.694651225942197	0.0021631278988315694
838868	45	25708	-6.957168090228927	0.012501949747472355
648080	44	20713	-5.113076849295565	0.0037385691788671548
601820	44	19419	-4.622868514994838	0.001967713471551627
645316	45	19614	-5.730438776343787	0.010553561547534273
949180	47	27452	-5.505379391315974	0.03966276341561401
716508	44	22365	-6.7330283228843335	0.015009063301198649
732682	45	22442	-5.3378338684459745	0.007870519834607386
553470	43	18181	-6.818797489907926	0.03454999903603418
606362	43	19600	-3.784876490260469	0.009503460562508542
679230	45	21148	-5.113362427605051	0.006756116797465435
