v	Gates	Layers	Fcalls	E0	Overlap	Success
v0	785298	46	23030	-28.96475	0.2529570237576699	SUCCESS
v1	660402	46	20156	-28.96475	0.25295702375767404	SUCCESS
v2	483574	42	16060	-22.197200000000006	6.7832430448223515e-31	SUCCESS
v3	481190	42	16078	-22.197200000000006	4.5361245091659435e-32	SUCCESS
v4	798590	46	23369	-16.504250000000003	0.07950531220815305	SUCCESS
v5	478640	42	15978	-21.4277125	0.020661850386807786	SUCCESS
v6	786330	45	24272	-16.884737499999996	0.008456006723212882	SUCCESS
v7	617286	44	19112	-20.870755	0.005165462596701944	SUCCESS
v8	602744	44	18755	-20.116612500000002	0.0006143186894096045	SUCCESS
v9	524768	41	17633	-13.647962500000002	0.0024036353369205807	SUCCESS
v10	618888	44	19655	-23.558055	0.01549638779010587	SUCCESS
v11	577444	43	18900	-17.221052500000003	0.0060290038015091	SUCCESS
v12	651972	45	20071	-20.116612500000002	0.0006143186894096048	SUCCESS
v13	583078	44	18531	-25.467767499999997	0.005165462596701927	SUCCESS
v14	586974	44	18348	-22.462482499999997	0.00516546259670199	SUCCESS
v15	820272	44	25333	-19.7719675	0.0008190915858794787	SUCCESS
v16	601002	42	18881	-16.1421275	0.004011546672744965	SUCCESS
v17	587034	44	18664	-14.526212500000003	1.3144400021799907e-32	SUCCESS
v18	597514	42	18773	-14.222665000000003	0.0012195713333151687	SUCCESS
v19	554900	43	17970	-13.756725	0.0011907029326448315	SUCCESS
v20	571362	44	18277	-25.467767499999997	0.005165462596701934	SUCCESS
v21	609048	44	18869	-22.462482500000004	0.005165462596701994	SUCCESS
v22	610384	42	19117	-16.1421275	0.004011546672744974	SUCCESS
v23	759354	43	24354	-19.7719675	0.0008190915858794775	SUCCESS
v24	576208	44	18367	-14.5262125	5.331287528591071e-33	SUCCESS
v25	657808	45	20543	-23.558055	0.015496387790105884	SUCCESS
v26	638086	45	19716	-20.116612500000002	0.0006143186894096089	SUCCESS
v27	577866	43	18852	-17.221052499999995	0.0060290038015091	SUCCESS
v28	569812	43	18611	-16.345525	0.0012195713333151643	SUCCESS
v29	616578	44	19591	-15.8870675	0.0008930271994836401	SUCCESS
v30	713216	46	21324	-13.1997675	0.0002976757331612074	SUCCESS
v31	758692	46	22413	-23.045385	0.06039331629124329	SUCCESS
v32	646392	46	19865	-17.034815000000002	0.04444851087821132	SUCCESS
v33	547308	44	17619	-14.791495000000001	0.0002976757331612028	SUCCESS
v34	537336	44	17352	-14.791494999999998	0.0002976757331612052	SUCCESS
v35	750678	46	22180	-13.622774999999995	0.02243004550444963	SUCCESS
v36	597476	44	18660	-20.870755	0.005165462596701938	SUCCESS
v37	526564	41	17676	-13.647962500000002	0.0024036353369205846	SUCCESS
v38	611126	44	18942	-20.116612500000002	0.0006143186894096057	SUCCESS
v39	471830	42	15811	-21.4277125	0.020661850386807727	SUCCESS
v40	550396	43	17661	-16.884737499999996	0.008456006723212913	SUCCESS
v41	786092	46	23062	-17.034815	0.044448510878211195	SUCCESS
v42	622078	45	19291	-23.045385	0.06039331629124346	SUCCESS
v43	475272	42	15871	-17.796779999999995	0.0002976757331612277	SUCCESS
v44	553906	44	17758	-17.79678	0.00029767573316122196	SUCCESS
v45	793794	46	23262	-13.622774999999995	0.022430045504449606	SUCCESS
v46	576712	43	18799	-16.345525	0.0012195713333151624	SUCCESS
v47	713684	46	21328	-13.1997675	0.0002976757331612083	SUCCESS
v48	611328	44	19464	-15.8870675	0.0008930271994836409	SUCCESS
v49	610306	42	19115	-14.222665000000003	0.0012195713333151652	SUCCESS
v50	600812	44	19079	-13.756725000000003	0.0011907029326448323	SUCCESS
