Gates	Layers	Fcalls	E0	Overlap	Success
604416	44	19993	-18.863406052636613	7.205617204931875e-06	SUCCESS
682724	42	22514	-17.99573832156825	0.000911076360248423	SUCCESS
583806	44	18477	-18.229065583160967	0.0009752658652213325	SUCCESS
699518	44	21870	-19.420465426831168	0.0025804076970089946	SUCCESS
678724	44	21965	-18.927413877368853	0.0006045204305116302	SUCCESS
734550	45	23025	-17.710247836009238	0.005022886324193779	SUCCESS
677000	44	21320	-17.71562933765107	0.000151982044191101	SUCCESS
713214	45	21947	-17.715642806724155	0.0003198148629734081	SUCCESS
818148	46	24228	-19.073669288861595	0.020195636948208858	SUCCESS
752966	46	22761	-17.151119836870826	0.005211279874022814	SUCCESS
675702	45	20732	-19.036417021222444	0.00705941263813804	SUCCESS
765252	44	23388	-19.147223524053363	0.0816520103651225	SUCCESS
741808	46	22299	-17.94336963316983	0.006272582929209066	SUCCESS
539288	42	18118	-17.505818209670636	0.011688643755905616	SUCCESS
640154	45	20363	-17.621602952977472	0.0017532150448463042	SUCCESS
884636	46	27152	-17.853210072318678	0.013648383380439928	SUCCESS
520294	43	17355	-21.36115727781071	0.02458057057461497	SUCCESS
619866	43	20209	-18.498316828435186	0.03304478475316899	SUCCESS
686544	44	21513	-17.456079422804144	0.005525001686179718	SUCCESS
828262	47	24729	-15.478453215004503	0.029065764862290178	SUCCESS
778444	47	23944	-19.390888572994815	0.006283853091803988	SUCCESS
1175874	48	33169	-22.031565079050164	0.018081380177315413	SUCCESS
623676	44	19927	-16.19161050550662	0.06576822851356148	SUCCESS
644742	44	20911	-18.152967344136965	0.006822600326781887	SUCCESS
719144	44	23020	-20.050188518388058	0.0010531615693026605	SUCCESS
670108	46	20953	-17.044146873799033	0.0037745262130660998	SUCCESS
727286	45	22681	-16.8090738356017	0.02305190622340826	SUCCESS
541660	43	17851	-19.64269491470441	0.019029393063496075	SUCCESS
619076	44	19472	-18.737121328169383	0.008154984111096115	SUCCESS
671364	44	21057	-16.105130437285496	0.02678907869641349	SUCCESS
532994	42	17912	-16.42202823558882	0.0071889753152954445	SUCCESS
1122622	47	33283	-16.99919311593621	0.00010517859463498642	SUCCESS
787576	46	23563	-16.990622535341284	0.02255036685478906	SUCCESS
688696	45	21516	-19.025939778007967	0.06895451007828085	SUCCESS
725096	45	22260	-18.279300030614472	0.008885316330157544	SUCCESS
875524	46	25268	-18.49575213833251	0.03619977613180139	SUCCESS
775602	46	24076	-20.9202793693937	0.047733502888630375	SUCCESS
825896	46	24772	-20.295047894249585	0.002333337603165131	SUCCESS
895668	45	26768	-17.628674185348775	1.142927766116656e-05	SUCCESS
614018	43	19746	-17.939245965832523	0.049898132565535706	SUCCESS
735674	45	23099	-17.04907290074477	0.001057829607662603	SUCCESS
898860	46	26095	-17.02128148403321	0.004839137907505968	SUCCESS
546658	42	18464	-18.16370589007642	0.03299905837945127	SUCCESS
918062	46	27486	-16.302910703771218	0.0008589220317298504	SUCCESS
656378	44	20781	-15.756115119132694	0.001667610340418543	SUCCESS
685232	45	21588	-16.334848055737268	0.012927495649516684	SUCCESS
481690	41	16476	-16.06211228609707	0.0006997796460373083	SUCCESS
759536	46	23078	-17.947484232868753	7.849126207799213e-08	SUCCESS
797164	46	24293	-18.507084757333875	0.014285553213264758	SUCCESS
725354	46	21967	-19.560337952670224	0.05481168712516155	SUCCESS
