Gates	Layers	Fcalls	E0	Overlap	Success
296	4	101	1.3976660894947597	0.12020958577403429	SUCCESS
252	4	92	5.7861415388161905	0.09372356456499963	SUCCESS
270	4	91	0.5728835297435654	0.12827602450741157	SUCCESS
252	4	89	1.1952331257904043	0.45546762644525474	SUCCESS
256	4	89	4.307258705821865	1.1033845520555943e-06	SUCCESS
628	5	192	3.0682586090083634	0.012244108802212219	SUCCESS
286	4	99	4.21948059005385	0.055782974363261205	SUCCESS
246	4	86	3.9051402176393264	0.20564590233815647	SUCCESS
240	4	88	4.35708455452821	0.09881407215072882	SUCCESS
264	4	90	1.6509209259796984	0.0853003719765389	SUCCESS
230	4	81	-1.9792153998899895	0.8742376895766842	SUCCESS
398	4	128	6.266568701349586	0.018477114854413973	SUCCESS
184	4	73	5.400009601616492	0.006403040876791817	SUCCESS
304	4	103	3.338978004630059	0.21821312027995204	SUCCESS
260	4	89	0.17897690768234875	0.601166835316742	SUCCESS
276	4	92	1.2550225945148663	0.401466094173736	SUCCESS
198	4	79	6.432127960109608	2.5299320216693798e-05	SUCCESS
270	4	91	0.9933501404335974	0.19611546391125353	SUCCESS
372	4	128	3.446134845054759	0.003791898751993043	SUCCESS
220	4	79	-1.9510588216016247	0.8651553202768499	SUCCESS
106	3	53	6.197685449616309	0.00010651387778748304	SUCCESS
226	4	82	-0.6637974966327599	0.7305015535370072	SUCCESS
564	5	160	2.5022524012789296	0.03408488822723796	SUCCESS
330	4	109	1.1534907316786909	0.4496069263869138	SUCCESS
296	4	101	1.302514005668478	0.02847004947639423	SUCCESS
350	4	120	5.751599988373858	0.0001353371466307979	SUCCESS
506	5	144	2.8479074502319386	0.2784973701565766	SUCCESS
242	4	85	1.4841944747182716	0.4177828468818417	SUCCESS
312	4	102	5.337499615552075	0.07713754155780289	SUCCESS
490	4	146	4.083602426261494	0.04244749663166075	SUCCESS
184	4	68	-0.9750204972138646	0.6629856648725589	SUCCESS
412	4	149	4.875960547075412	0.14391906693950038	SUCCESS
274	4	96	4.172966864614301	0.006609935450959876	SUCCESS
314	4	106	2.8684240690124634	0.262058481523413	SUCCESS
632	5	176	3.224764055468014	0.033382110683935866	SUCCESS
340	4	116	4.39055595702745	0.15543327120788533	SUCCESS
262	4	92	1.2665533820109132	0.00395700339105551	SUCCESS
250	4	86	-0.8982396621814338	0.5083197730076774	SUCCESS
294	4	107	6.464302589622873	0.005456335483476559	SUCCESS
252	4	88	5.696227073222708	0.10438555865038676	SUCCESS
256	4	89	-0.10479592977103538	0.6250392158973351	SUCCESS
272	4	93	3.446818941866904	0.1424261223520187	SUCCESS
314	4	108	3.741050798371906	0.03643007317288181	SUCCESS
282	4	107	6.3485020683544535	0.09412304548414598	SUCCESS
424	5	125	4.555089702569506	0.1226520181996546	SUCCESS
546	5	159	4.499342153372616	0.045535297903935776	SUCCESS
270	4	91	3.3854566439930727	0.31700101219606774	SUCCESS
248	4	89	4.686435155114758	0.013519214999113283	SUCCESS
308	4	106	6.351444634283293	0.0027548684346953714	SUCCESS
252	4	84	2.8597489465968593	0.3511147162553394	SUCCESS
