Gates	Layers	Fcalls	E0	Overlap	Success
147178	25	7956	-4.184195298809608	0.05504636308725782	SUCCESS
167400	25	9111	-2.4566926001168983	0.025261535948475678	SUCCESS
119102	26	6417	-1.8343574649813077	0.03324892666830176	SUCCESS
194158	28	9634	-2.064578312708318	0.024770077671041592	SUCCESS
268636	27	12926	-2.7508365484402915	0.003960966464430474	SUCCESS
192902	27	9729	-4.299782152615796	0.0208739416057795	SUCCESS
95108	24	5453	-8.477437538748953	0.09962292061272217	SUCCESS
177818	27	9218	-4.117366923560823	5.8114456479826276e-05	SUCCESS
230382	27	11078	-0.47534867458394087	0.05864952722955946	SUCCESS
73580	23	4589	-3.385672182783478	0.00014981344571441126	SUCCESS
180190	25	9290	-5.196345730602687	0.009424960999352756	SUCCESS
152970	27	7627	-4.453832502915544	0.005548680024696733	SUCCESS
138102	25	7394	-2.034775021714259	0.003725631582524696	SUCCESS
108606	25	6043	-2.9417238232170186	0.08921314404356077	SUCCESS
204680	26	10424	-1.3366891778759393	0.02650133204202534	SUCCESS
150516	26	7997	-2.8846633270419844	0.0006363590373595541	SUCCESS
98000	25	5568	-3.0254167089044657	0.017276159444964485	SUCCESS
143400	26	7605	-2.6504608019656795	0.04031528862692348	SUCCESS
136270	26	7246	-2.985542418373397	0.0033385692776887748	SUCCESS
153100	26	7833	-2.2570566471980706	0.03263967491156806	SUCCESS
181216	25	9443	-0.5446358494271929	0.03417766614499058	SUCCESS
151540	25	7897	-3.9767762335134273	0.0009522369255717463	SUCCESS
160408	25	8689	-3.350354173434595	0.06033452938473665	SUCCESS
87238	24	5288	-0.4551757780319196	0.04085255342197089	SUCCESS
131754	24	7560	-2.7297966026967013	0.004391194253715774	SUCCESS
120668	25	6562	-3.0698800293611908	3.081336326860935e-05	SUCCESS
108730	26	6094	-2.558282297298554	0.051972808948135926	SUCCESS
185242	26	9629	-1.8685922730621436	0.0007146888297768502	SUCCESS
172728	27	8639	-1.3894558828232317	0.005597331718976264	SUCCESS
81576	24	4750	-5.254517761935736	0.09301214909130699	SUCCESS
154430	26	8330	-2.1025295903483174	0.00041850489877691356	SUCCESS
116940	26	6257	-5.766312656890421	0.19326408633528466	SUCCESS
219970	27	11295	-1.1757865093167839	0.00044042969979216773	SUCCESS
101904	25	5766	-3.5983659857474515	0.01521785338909476	SUCCESS
161978	26	8578	-3.2814838534431634	0.02125234372281991	SUCCESS
238272	27	11326	-5.253928849021366	0.045960901949948764	SUCCESS
213088	27	10126	-5.4009037239338635	0.014097894520654883	SUCCESS
134252	25	7372	-3.277721856891981	0.008958715269727573	SUCCESS
231718	27	11261	-4.001708304874032	0.0013353962535653922	SUCCESS
181772	26	8919	-2.301013128978982	0.05166061160884341	SUCCESS
222094	25	11287	-5.2347438761224465	5.4436012850621065e-05	SUCCESS
223334	26	11570	-0.8193974295972172	0.01273952134236929	SUCCESS
166260	26	8234	-4.571217856828619	0.006956090185937474	SUCCESS
161684	23	9048	-2.83691501243434	0.007964530978429068	SUCCESS
120186	25	6745	-3.3404366101714817	0.018410165109881242	SUCCESS
222866	26	11121	-3.681935668347801	0.0007119333333960664	SUCCESS
114296	25	6357	-2.7425604709700537	0.014027054067763252	SUCCESS
131958	26	6941	-6.522238926200093	0.09401247031662523	SUCCESS
245776	26	12042	-2.458149655326321	0.02244214058369211	SUCCESS
202706	27	9931	-6.6233425417213265	0.007407864782691775	SUCCESS
