Gates	Layers	Fcalls	E0	Overlap	Success
3122	9	488	-12.56225370192153	0.005984659935513459	SUCCESS
2390	9	407	-9.334095980454363	0.20702873704668834	SUCCESS
2196	8	381	-12.582423479341811	0.10077447136961662	SUCCESS
2554	9	420	-13.405927696705813	0.41023123229334346	SUCCESS
2898	9	461	-11.447125473826793	0.5317462497623042	SUCCESS
2830	9	457	-10.57872626316417	0.15931006844733084	SUCCESS
1970	8	350	-12.155848078601817	0.33655056926512195	SUCCESS
2984	9	478	-9.528916645708192	0.07985082488174519	SUCCESS
2844	9	464	-10.830018472061814	0.18524134725590025	SUCCESS
2054	8	361	-8.769237397119864	0.043570551495749725	SUCCESS
2872	9	459	-9.034205445615521	0.16362238012561728	SUCCESS
2006	8	354	-11.497089340994702	0.013593462701626275	SUCCESS
1874	8	347	-10.564550628615581	0.02839571597939341	SUCCESS
3314	9	517	-4.301184171154738	0.12652115197486585	SUCCESS
2458	9	413	-11.304770955342804	0.09420115505629631	SUCCESS
2692	9	435	-9.181204120348664	0.4076256684883746	SUCCESS
2284	9	379	-12.709460674254947	0.4611557493184742	SUCCESS
2742	9	459	-11.660466079069892	0.16758404286403814	SUCCESS
2662	9	431	-10.508513050633356	0.33763070604956597	SUCCESS
1964	8	346	-13.745698726058807	0.428595018965646	SUCCESS
1778	8	323	-10.404501110182988	0.19800048509480256	SUCCESS
2806	9	477	-10.908601314556224	8.356576105431702e-05	SUCCESS
2930	9	445	-12.124121894183368	0.20992391396878546	SUCCESS
2920	9	476	-7.835725775083777	0.18131660717055434	SUCCESS
1980	8	365	-8.288284754941532	0.01216598152889101	SUCCESS
2710	9	438	-11.72290192666576	0.15859806760254472	SUCCESS
3254	9	514	-7.243644590110038	0.01491139570972104	SUCCESS
2284	9	374	-10.851476718741615	0.2974423630548705	SUCCESS
2934	9	480	-8.51605480814944	0.13673289735476374	SUCCESS
1882	8	340	-12.949934294584981	0.2624423251266111	SUCCESS
2562	9	423	-8.462443472994702	0.1823835436155029	SUCCESS
2992	9	469	-11.651409875609994	0.0009423410563228757	SUCCESS
3020	9	487	-11.3851386416781	0.10854126915286853	SUCCESS
2456	9	413	-12.762574902031014	0.39211198370061895	SUCCESS
3000	9	480	-6.54792716694426	0.025766957763115675	SUCCESS
2284	9	379	-11.533215757445126	0.1453175001369507	SUCCESS
3316	9	543	-9.511862407064816	0.01701747689969331	SUCCESS
2854	9	451	-10.056746733546943	0.002256775778979502	SUCCESS
2402	9	393	-9.710513523625252	0.22156098385212256	SUCCESS
2488	9	413	-11.633345161198967	0.07974360711384719	SUCCESS
2844	9	457	-10.43345016212405	0.042643815730101745	SUCCESS
2874	9	477	-10.210966462174117	0.1091413517480606	SUCCESS
3112	9	510	-8.054661806757872	0.06811054484653321	SUCCESS
3016	9	492	-10.325291385212791	0.0010851593508457206	SUCCESS
2720	9	423	-11.552613934740293	0.00018092260502673826	SUCCESS
2608	9	410	-13.5081291678654	0.4311273820772125	SUCCESS
2902	9	466	-12.364185305350011	0.19332046593644756	SUCCESS
2504	9	409	-11.348352847361753	0.1518678196319343	SUCCESS
2948	9	477	-12.255493201144633	0.045381382265330596	SUCCESS
2860	9	451	-12.615503407960391	0.035115397733068154	SUCCESS
